scenario,length,algorithm,build_mean_ms,build_median_ms,build_std_ms,build_iqr_ms,build_q1_ms,build_q3_ms,build_min_ms,build_max_ms,query_mean_ms,query_median_ms,query_std_ms,query_iqr_ms,query_q1_ms,query_q3_ms,query_min_ms,query_max_ms,total_mean_ms,total_median_ms,total_std_ms,total_iqr_ms,total_q1_ms,total_q3_ms,memory_mean_kib,memory_median_kib,memory_std_kib,memory_iqr_kib,memory_q1_kib,memory_q3_kib,memory_min_kib,memory_max_kib,build_peak_memory_mean_kib,build_peak_memory_median_kib,build_peak_memory_std_kib,build_peak_memory_iqr_kib,query_peak_memory_mean_kib,query_peak_memory_median_kib,query_peak_memory_std_kib,query_peak_memory_iqr_kib,query_extra_memory_mean_kib,query_extra_memory_median_kib,query_extra_memory_std_kib,query_extra_memory_iqr_kib,index_size_mean_kib,index_size_median_kib,index_size_std_kib,index_size_iqr_kib,lcs_mean_length,runs
disjoint_alphabet,100,Enhanced Suffix Array,0.5092174,0.4314,0.9113590853456857,0.11122499999999996,0.39575,0.506975,0.3607,20.6876,0.0373946,0.03565,0.008240278832082136,0.0036250000000000032,0.033775,0.0374,0.0304,0.1421,0.546612,0.4679,0.9135325486982185,0.11352499999999999,0.429725,0.54325,5.556640625,5.556640625,0.0,0.0,5.556640625,5.556640625,5.556640625,5.556640625,5.556640625,5.556640625,0.0,0.0,4.197265625,4.197265625,0.0,0.0,0.59375,0.59375,0.0,0.0,9.037109375,9.037109375,0.0,0.0,0.0,500
disjoint_alphabet,100,Suffix Automaton,0.2479092,0.23585,0.056079896799209786,0.02747499999999997,0.22265000000000001,0.250125,0.1843,0.7663,0.0346932,0.0331,0.007190254047426494,0.003925000000000001,0.0311,0.035025,0.028,0.1138,0.2826024,0.2693,0.06033689348708084,0.030174999999999952,0.25475000000000003,0.284925,14.948984375,14.96875,0.49000338841173535,0.52734375,14.8046875,15.33203125,13.34375,15.8515625,14.675546875,14.6953125,0.49000338841173535,0.52734375,14.948984375,14.96875,0.49000338841173535,0.52734375,0.59375,0.59375,0.0,0.0,32.696875,32.6796875,0.5570504566487564,0.5830078125,0.0,500
disjoint_alphabet,500,Enhanced Suffix Array,30.882192200000002,30.1095,3.880698229702899,2.0489500000000014,29.358625,31.407575,26.6768,73.7423,1.276648,1.22675,0.18252740364713554,0.12575000000000025,1.1781249999999999,1.3038750000000001,1.101,2.5274,32.1588402,31.3416,3.996577106873622,2.090325,30.576749999999997,32.667075,94.487890625,94.494140625,0.04266200115658278,0.0625,94.462890625,94.525390625,94.400390625,94.556640625,94.487890625,94.494140625,0.04266200115658278,0.0625,40.787109375,40.787109375,0.0,0.0,0.625,0.625,0.0,0.0,44.220703125,44.220703125,0.0,0.0,0.0,500
disjoint_alphabet,500,Suffix Automaton,2.0870678,1.97405,0.4832834450295595,0.29274999999999984,1.87575,2.1685,1.6723,10.5425,0.32712779999999997,0.3142,0.04616619327997416,0.030299999999999994,0.3033,0.3336,0.2867,0.675,2.4141956,2.29595,0.5018172328757375,0.3382749999999999,2.183875,2.52215,152.4601171875,152.49609375,1.0658298494455,1.4931640625,151.689453125,153.1826171875,150.8515625,154.58984375,152.15942578125,152.1953125,1.0659347468868157,1.4931640625,152.4601171875,152.49609375,1.0658298494455,1.4931640625,0.62109375,0.62109375,0.0,0.0,172.5962890625,172.603515625,1.0657593383911026,1.4619140625,0.0,500
disjoint_alphabet,1000,Enhanced Suffix Array,69.2694934,68.0064,8.032405539807376,3.965299999999999,66.12795,70.09325,59.33,171.2379,2.7545167999999998,2.7198,0.21013381450341465,0.1772999999999998,2.644425,2.821725,2.323,4.5388,72.0240102,70.72305,8.17889246144414,4.207025000000016,68.72954999999999,72.936575,212.816796875,212.814453125,0.07990902056211874,0.115234375,212.76171875,212.876953125,212.689453125,212.962890625,212.816796875,212.814453125,0.07990902056211874,0.115234375,88.8546875,88.857421875,0.032270092047095786,0.0,0.625,0.625,0.0,0.0,88.166015625,88.166015625,0.0,0.0,0.0,500
disjoint_alphabet,1000,Suffix Automaton,4.141634799999999,4.08495,0.3092190414255246,0.31437500000000007,3.9558999999999997,4.270275,3.536,6.5722,0.8096355999999999,0.79725,0.07467025852141737,0.057150000000000034,0.774725,0.831875,0.6815,1.4933,4.9512704,4.899150000000001,0.36215618975159164,0.3441000000000001,4.7446,5.0887,323.0046484375,322.974609375,2.1920324126976674,3.673828125,321.26953125,324.943359375,319.36328125,326.86328125,322.7038671875,322.673828125,2.1920324126976674,3.673828125,323.0046484375,322.974609375,2.1920324126976674,3.673828125,0.62109375,0.62109375,0.0,0.0,341.1876953125,341.12890625,2.191998129040277,3.642578125,0.0,500
disjoint_alphabet,5000,Enhanced Suffix Array,393.1883868,387.0335,32.37819446792352,17.765800000000013,377.056775,394.82257500000003,355.4548,613.4284,14.222169,14.15505,0.8807039467281639,0.42917500000000075,13.90855,14.337725,12.4192,23.4259,407.4105558,400.98164999999995,32.76207702085488,18.045725000000004,391.07507499999997,409.1208,1356.289109375,1356.181640625,0.7202040754408185,1.1640625,1355.650390625,1356.814453125,1355.369140625,1357.986328125,1356.289109375,1356.181640625,0.7202040754408185,1.1640625,536.973703125,536.966796875,0.7901409845298107,1.09375,0.625,0.625,0.0,0.0,439.728515625,439.728515625,0.0,0.0,0.0,500
disjoint_alphabet,5000,Suffix Automaton,22.406355599999998,22.0753,2.4393121864563847,1.4201249999999987,21.4737,22.893825,19.5343,61.2328,4.3418285999999995,4.260350000000001,0.32415813424010814,0.3604749999999992,4.11575,4.4762249999999995,3.8402,7.0857,26.7481842,26.2923,2.6435328487717777,1.521374999999999,25.7087,27.230075,1795.4861015625,1796.25,3.8161829059169325,4.92578125,1792.578125,1797.50390625,1788.52734375,1811.51953125,1795.1853203125,1795.94921875,3.8161829059169325,4.92578125,1795.4861015625,1796.25,3.8161829059169325,4.92578125,0.62109375,0.62109375,0.0,0.0,1797.9880859375,1798.73046875,3.7163451797998768,4.748046875,0.0,500
disjoint_alphabet,10000,Enhanced Suffix Array,824.059897,797.43835,69.69398885023135,23.919675000000097,787.1746499999999,811.094325,755.634,1057.9336,28.7914342,28.7066,1.3215305177365289,0.9534999999999982,28.15455,29.10805,26.0383,35.0037,852.8513312,826.38055,69.72648470192435,25.740274999999997,815.502525,841.2428,2793.69765625,2793.642578125,1.2035056601300418,1.490234375,2792.931640625,2794.421875,2791.611328125,2796.822265625,2793.69765625,2793.642578125,1.2035056601300418,1.490234375,1037.42578125,1037.603515625,1.0657006796295583,1.244140625,0.625,0.625,0.0,0.0,879.181640625,879.181640625,0.0,0.0,0.0,500
disjoint_alphabet,10000,Suffix Automaton,44.5988364,44.15505,1.7505810552090284,1.448849999999993,43.642075000000006,45.090925,40.9472,60.307,8.8692158,8.7335,0.5043531005460561,0.634800000000002,8.505524999999999,9.140325,7.9236,12.2063,53.468052199999995,52.9576,2.0131122809337905,1.7014500000000012,52.3412,54.04265,3546.6890234375,3547.59375,4.883262156619036,5.4248046875,3543.796875,3549.2216796875,3539.15625,3560.046875,3546.3882421875,3547.29296875,4.883262156619036,5.4248046875,3546.6890234375,3547.59375,4.883262156619036,5.4248046875,0.62109375,0.62109375,0.0,0.0,3529.7158203125,3530.591796875,4.8832467672303626,5.3935546875,0.0,500
mutated_implant,100,Enhanced Suffix Array,0.9328522,0.8954,0.1765340237411373,0.18005000000000004,0.818375,0.998425,0.7411,2.1506,0.0679474,0.06284999999999999,0.02285290186140425,0.013899999999999996,0.0568,0.0707,0.0481,0.2884,1.0007996000000001,0.95835,0.18994487545407085,0.1825000000000001,0.8815249999999999,1.064025,6.673234375,6.66796875,0.11774295444022341,0.0,6.66796875,6.66796875,6.66796875,9.30078125,6.673234375,6.66796875,0.11774295444022341,0.0,5.147607421875,5.0859375,0.18880563957164265,0.083984375,0.708544921875,0.650390625,0.14671039357771073,0.08447265625,11.234375,11.234375,0.0,0.0,11.9,500
mutated_implant,100,Suffix Automaton,0.4073218,0.37745,0.21371625248893864,0.04864999999999997,0.35475,0.4034,0.3186,4.6674,0.1065286,0.09825,0.03255950621446616,0.027324999999999988,0.0883,0.11562499999999999,0.0705,0.3938,0.5138504,0.47975,0.22553574920215272,0.06182499999999996,0.4501,0.511925,27.022974609375,26.900390625,0.9433131653210707,0.992431640625,26.28515625,27.277587890625,25.8271484375,29.4228515625,26.31775,26.31640625,0.8229104063638569,0.8984375,27.022974609375,26.900390625,0.9433131653210707,0.992431640625,1.025537109375,0.84814453125,0.315935787284914,0.62890625,45.6775390625,45.654296875,0.9194415728328804,1.03515625,11.9,500
mutated_implant,500,Enhanced Suffix Array,56.1058104,55.20165,5.460243382260445,3.611274999999999,53.726825,57.3381,44.0091,105.3663,1.672617,1.6388500000000001,0.1330174625441464,0.12322500000000014,1.59435,1.717575,1.5025,2.9735,57.7784274,56.951049999999995,5.483571291558859,3.6416749999999922,55.394425000000005,59.0361,124.0578125,124.06640625,0.616239068906931,0.0625,124.00390625,124.06640625,123.84765625,137.73828125,124.0578125,124.06640625,0.616239068906931,0.0625,52.90166015625,52.8388671875,0.630401184213049,0.033447265625,0.74931640625,0.7138671875,0.15443101631025336,0.033447265625,55.20703125,55.20703125,0.0,0.0,23.95,500
mutated_implant,500,Suffix Automaton,3.0101568000000003,2.9419,0.3214266899430967,0.27405000000000035,2.830125,3.104175,2.6693,7.3481,0.6432522,0.6275,0.07792092707940419,0.08734999999999993,0.59325,0.6806,0.5281,1.1137,3.653409,3.5888,0.3539173934433906,0.3414999999999999,3.428725,3.770225,225.70787109375,225.537109375,1.2924659963760765,1.51904296875,224.89990234375,226.4189453125,223.5439453125,228.3603515625,224.85015625,224.568359375,1.2691312308162446,1.806640625,225.70787109375,225.537109375,1.2924659963760765,1.51904296875,1.17802734375,1.16552734375,0.32129202481297275,0.5859375,244.4296875,244.119140625,1.269072015463256,1.759765625,23.95,500
mutated_implant,1000,Enhanced Suffix Array,128.908814,127.06105,9.239784463789102,5.388224999999977,124.2697,129.65792499999998,116.5771,198.4069,3.5288746,3.5116,0.1788057233654908,0.15974999999999984,3.4329,3.59265,3.2671,6.3744,132.4376886,130.65675,9.279921858173038,5.370175000000003,127.835675,133.20585,294.2826875,294.294921875,3.950818003804664,0.78125,293.701171875,294.482421875,292.849609375,381.232421875,294.2826875,294.294921875,3.950818003804664,0.78125,135.207638671875,135.1962890625,3.9603356467992112,0.7255859375,0.758154296875,0.73193359375,0.152481368990332,0.04736328125,110.138671875,110.138671875,0.0,0.0,25.25,500
mutated_implant,1000,Suffix Automaton,6.2433114,6.2023,0.25022565569416577,0.2721999999999998,6.078275,6.350474999999999,5.7008,8.1226,1.387454,1.34715,0.15709795561788398,0.09489999999999998,1.3051499999999998,1.4000499999999998,1.2326,2.6158,7.6307654000000005,7.5550999999999995,0.347357557926897,0.3687749999999994,7.4030000000000005,7.771775,479.781970703125,482.3447265625,4.652252804034007,7.672607421875,475.503662109375,483.17626953125,472.5439453125,486.5439453125,478.77005078125,481.498046875,4.7342896675007475,7.998046875,479.781970703125,482.3447265625,4.652252804034007,7.672607421875,1.332861328125,1.4736328125,0.34570762989217035,0.609130859375,495.907421875,498.607421875,4.734556810606482,7.966796875,25.25,500
mutated_implant,5000,Enhanced Suffix Array,841.0466328,845.6421,31.282607429764067,19.366050000000087,834.16445,853.5305000000001,703.0664,972.9394,18.350137999999998,18.348550000000003,0.8414945855744423,0.5584999999999987,18.0548,18.6133,16.244,25.3565,859.3967708,863.9241999999999,31.454006811418044,19.263999999999896,852.523575,871.787575,1737.48203125,1737.490234375,0.7038703455625263,0.576171875,1737.310546875,1737.88671875,1735.521484375,1738.474609375,1737.48203125,1737.490234375,0.7038703455625263,0.576171875,683.2625,683.2802734375,0.703132651437576,0.477783203125,0.751953125,0.75390625,0.02977730299642385,0.04443359375,549.591796875,549.591796875,0.0,0.0,42.55,500
mutated_implant,5000,Suffix Automaton,34.306299599999996,33.975750000000005,1.781561032562546,1.8202750000000023,33.230975,35.05125,30.9217,48.5566,7.355956,7.3022,0.7467878116139485,1.1198499999999996,6.716025,7.835875,6.0793,11.9219,41.662255599999995,41.234750000000005,2.021839760976812,1.9907499999999985,40.453825,42.444575,2511.76509765625,2511.89794921875,4.649856494072989,4.79150390625,2508.779541015625,2513.571044921875,2504.2197265625,2523.2333984375,2510.6421484375,2510.619140625,4.614915427730469,4.275390625,2511.76509765625,2511.89794921875,4.649856494072989,4.79150390625,1.44326171875,1.5478515625,0.3265298372336761,0.37255859375,2508.2490234375,2508.197265625,4.614899143481582,4.244140625,42.55,500
mutated_implant,10000,Enhanced Suffix Array,1758.1837871999999,1735.9547499999999,79.7167928878585,35.796974999999975,1718.362525,1754.1595,1658.5815,2179.1689,37.145909,37.087,1.1859561410254031,0.9710250000000045,36.640825,37.611850000000004,33.5795,43.1292,1795.3296962,1773.07085,79.85322580242872,36.761799999999994,1754.825525,1791.587325,3516.255078125,3516.158203125,0.6706647328808875,1.056640625,3515.859375,3516.916015625,3514.783203125,3517.408203125,3516.255078125,3516.158203125,0.6706647328808875,1.056640625,1290.248828125,1290.162109375,0.6843064815478174,1.0517578125,0.841015625,0.7783203125,0.19881035590601168,0.064453125,1098.908203125,1098.908203125,0.0,0.0,48.9,500
mutated_implant,10000,Suffix Automaton,71.33467019999999,70.96635,3.2290240980928133,2.579624999999993,69.641525,72.22115,67.2972,123.0345,15.3921336,15.36355,0.9066583733706128,1.0562000000000005,14.807575,15.863775,13.0062,23.7571,86.7268038,86.30465000000001,3.571351885629239,2.7111500000000177,84.99844999999999,87.70960000000001,5067.50015625,5068.36328125,8.125166159998447,11.599365234375,5060.966064453125,5072.5654296875,5052.6279296875,5080.4091796875,5066.187265625,5066.919921875,8.098478767327935,11.521484375,5067.50015625,5068.36328125,8.125166159998447,11.599365234375,1.633203125,1.5927734375,0.22954754004703376,0.2373046875,5039.380078125,5040.083984375,8.098469487765176,11.490234375,48.9,500
near_identical,100,Enhanced Suffix Array,1.1172318,1.08555,0.19892043516897803,0.1447250000000001,0.988425,1.13315,0.9104,2.3409,0.0634786,0.0583,0.02379648687548712,0.009800000000000003,0.0539,0.0637,0.0429,0.3513,1.1807104,1.1446,0.21220982935573537,0.15054999999999996,1.045325,1.195875,5.556640625,5.556640625,0.0,0.0,5.556640625,5.556640625,5.556640625,5.556640625,5.556640625,5.556640625,0.0,0.0,4.412158203125,4.41259765625,0.0024433625053230626,0.001220703125,0.808642578125,0.80908203125,0.002443362505321825,0.001220703125,9.037109375,9.037109375,0.0,0.0,98.2,500
